# Tissue Carbon and Nitrogen,,,,,,,
#,,,,,,,
# Original Data Source: https://lter.kbs.msu.edu/datatables/73,,,,,,,
# The newest version of the data https://lter.kbs.msu.edu/datatables/73.csv,,,,,,,
# Full EML Metadata: https://lter.kbs.msu.edu/datasets/32.eml,,,,,,,
#,,,,,,,
# These Data are copyrighted and use in a publication requires written permission,,,,,,,
# as detailed in our Terms of use:  https://lter.kbs.msu.edu/data/terms-of-use/,,,,,,,
# Use of the data constitutes acceptance of the terms.,,,,,,,
#,,,,,,,
#     VARIATE TABLE,,,,,,,
8/3/2017,T7,R6,Aggregate of live biomass except for the top 3 species which are analysed sepearately,,45.886,1.003,2017
12/15/2015,TDF,R1,Leaf Litter,,46.291,0.833,2015
8/26/2005,T5,R5,fescue Non dominant biomass,,45.732,1.378,2005
8/7/1995,T7,R5,Aster pilosus Willd.,NDB,46.4,1.55,1995
8/11/2004,T5,R2,fescue Non dominant biomass,,41.177,1.83,2004
10/22/2008,T3,R4,aggregate of live biomass except for Zea mays,,40.018,2.469,2008
5/20/2014,T3,R4,Trifolium pratense L.,,43.638,3.186,2014
9/15/2008,TDF,R3,Leaf Litter,,44.753,0.844,2008
5/11/1993,T4,R6,Vicia villosa  Roth,COVCROP,43.59,4.97,1993
12/12/2017,TDF,R1,Leaf Litter,,47.077,1.001,2017
11/20/2015,T7,R2,UnSorted,,45.622,0.468,2015
5/19/2014,T3,R2,UnSorted,,41.837,2.187,2014
10/23/2014,T3,R3,Zea mays L. (*),STOVER,43.937,0.507,2014
8/1/2017,T7,R5,Aggregate of live biomass except for the top 3 species which are analysed sepearately,,44.398,0.99,2017
10/23/2008,T4,R1,aggregate of live biomass except for Zea mays,,42.192,1.499,2008
11/14/2016,T7,R5,Surface Litter,,41.198,0.883,2016
4/30/1990,T4,R4,Vicia villosa  Roth,COVCROPNDB,41.43,3.05,1990
7/16/1991,T5,R4,Leaf Litter,LEAFLITTER,46.55,0.67,1991
5/14/2018,T6,R6,UnSorted,,40.256,2.827,2018
8/11/2009,TSF,R3,Aggregate of live biomass except for the top 3 species which are analysed sepearately,,44.513,2.232,2009
8/8/2002,T8,R4,Surface Litter,,41.335,0.862,2002
7/15/2019,T2,R3,UnSorted,,40.948,1.617,2019
7/17/2013,T4,R4,UnSorted,,43.192,2.822,2013
8/6/2001,T7,R2,Aggregate of live biomass except for the top 3 species which are analysed sepearately,,43.511,0.965,2001
9/12/1989,T1,R6,Zea mays L. (*),SEED,41.2,1.63,1989
8/31/2015,TSF,R1,Achillea millefolium L.,,44.782,1.238,2015
9/6/1995,T5,,poplar leaves,POPLVS,46.7,1.42,1995
5/9/2018,T3,R3,Secale cereale M.Bieb.,,43.575,2.7,2018
12/12/2017,TCF,R2,Leaf Litter,,49.262,1.275,2017
9/15/1997,T4,R4,Glycine max L. (*),STOVER,40.88,2.12,1997
7/24/2012,T6,R3,UnSorted,,44.272,2.394,2012
,TCF,R1,Leaf Litter,LEAFLITTER,49.46,1.43,1994
8/3/2016,T7,R5,Aggregate of live biomass except for the top 3 species which are analysed sepearately,,42.431,0.865,2016
8/24/1999,T3,R1,Aggregate of live biomass except for the top 3 species which are analysed sepearately,NDB,39.16,1.97,1999
7/10/1991,T5,R4,Leaf Litter,LEAFLITTER,39.57,0.76,1991
7/5/2016,T2,R6,Triticum aestivum L. (*),SEED,41.432,1.253,2016
8/17/1999,TSF,R3,Dicots,NDB,46.37,1.63,1999
7/9/1993,T6,R6,Medicago sativa L.,NDB,41.9,3.37,1993
5/11/1998,T6,R5,Medicago sativa L.,CROP,43.36,3.12,1998
5/19/2014,T4,R2,Trifolium pratense L.,,43.203,3.404,2014
10/18/2017,T1,R6,Zea mays L. (*),STOVER,44.377,0.502,2017
8/23/1993,T6,R6,Medicago sativa L.,NDB,44.28,3.94,1993
7/13/2004,T3,R2,Triticum aestivum L. (*),STOVER,42.85,0.685,2004
8/2/1993,T8,R1,Dactylis glomerata L.,NDB,34.14,0.77,1993
10/4/1993,T1,R4,Aggregate of live biomass except for the top 3 species which are analysed sepearately,NDB,43.11,1.81,1993
8/11/1999,T7,R6,Hieracium sp. (*),NDB,42.65,1.71,1999
9/3/2010,T3,R4,UnSorted,,45.259,1.373,2010
8/28/2013,T8,R3,Rubus allegheniensis T.C. Porter (*),,43.966,1.241,2013
7/9/2010,T3,R2,aggregate of live biomass except for Triticum sp.,,43.829,1.622,2010
5/14/2018,T6,R4,UnSorted,,36.718,2.728,2018
9/28/2015,T2,R4,Glycine max L. (*),SEED,51.738,5.791,2015
8/6/2015,T8,R4,Sassafras albidum (Nutt.) Nees,,46.482,1.855,2015
8/7/1992,T7,R4,Lotus corniculatus L.,NDB,45.92,2.23,1992
8/25/2014,T8,R2,Surface Litter,,42.58,1.503,2014
10/26/2011,T2,R1,Zea mays L. (*),SEED,42.896,1.216,2011
8/12/2008,T8,R4,Aggregate of live biomass except for the top 3 species which are analysed sepearately,,45.067,1.32,2008
8/30/1999,T5,R2,Trunks of poplars - CN code,POPTRK,48.08,0.48,1999
,T5,R3,Leaf Litter,LEAFLITTER,44.63,1.56,1993
8/26/2005,T5,R1,Leaf Litter,,45.704,0.819,2005
7/29/1998,TSF,R2,Surface Litter,SURFACELITTER,37.97,0.95,1998
10/6/1992,T1,R4,Glycine max L. (*),STOVER,44.18,0.96,1992
9/2/2003,T2,R2,Glycine max L. (*),SEED,50.605,6.457,2003
7/30/2004,T7,R3,Aggregate of live biomass except for the top 3 species which are analysed sepearately,,44.204,1.35,2004
9/12/1989,T5,R3,Trunks of poplars - CN code,TRUNK,46.42,0.86,1989
6/26/2007,T1,R5,Triticum aestivum L. (*),STOVER,44.553,0.58,2007
9/28/2012,T3,R5,Glycine max L. (*),SEED,51.982,6.285,2012
8/5/2014,T6,R5,Medicago sativa L.,,43.879,2.574,2014
11/30/2012,TDF,R3,Leaf Litter,,44.122,1.019,2012
8/11/1999,T7,R2,Trifolium pratense L.,NDB,44.24,1.89,1999
9/26/2012,T4,R2,UnSorted,,45.913,2.159,2012
10/5/2009,T3,R1,aggregate of live biomass except for Glycine max L. (*),,47.431,1.433,2009
8/1/2000,T7,R4,Rhus typhina L.,,46.899,0.939,2000
10/23/1992,T5,R4,Leaf Litter,LEAFLITTER,46.34,1.82,1992
5/4/2012,T4,R2,Secale cereale M.Bieb.,,43.957,1.89,2012
5/10/2017,T3,R6,Trifolium pratense L.,,43.073,3.17,2017
7/21/1992,T3,R3,Aggregate of live biomass except for the top 3 species which are analysed sepearately,NDB,44.56,2.77,1992
,TDF,R3,Leaf Litter,LEAFLITTER,45.6,1.52,1994
7/13/2007,T6,R4,aggregate of live biomass except for Medicago sativa L.,,42.617,2.307,2007
9/14/1999,T21,R5,Zea mays L. (*),STOVER,45.07,0.67,1999
8/24/1999,T3,R2,Aggregate of live biomass except for the top 3 species which are analysed sepearately,NDB,41.94,2.44,1999
9/12/1994,T1,R2,Glycine max L. (*),STOVER,42.66,2.02,1994
11/18/2008,T7,R4,UnSorted,,44.891,1.197,2008
6/27/2012,T5,R3,UnSorted,,38.922,1.454,2012
10/13/1989,T4,R6,Vicia villosa  Roth,COVCROP,43.9,4.85,1989
9/30/2015,T3,R1,Glycine max L. (*),SEED,49.817,5.794,2015
8/11/1999,T7,R4,Bromus japonicus Thunb. ex Murr.,NDB,43.78,0.39,1999
8/17/1995,T6,R5,Medicago sativa L.,NDB,42.15,3.62,1995
8/23/2011,T6,R1,UnSorted,,39.869,2.662,2011
8/3/2010,T7,R3,Trifolium pratense L.,,43.894,1.867,2010
9/4/2003,T4,R5,Glycine max L. (*),STOVER,41.727,3.127,2003
7/9/2002,T6,R2,aggregate of live biomass except for Medicago sativa L.,,36.629,2.53,2002
7/30/2007,T5,R1,Festuca rubra L.,,42.202,1.365,2007
8/5/1992,T8,R4,Daucus carota L.,NDB,44.11,0.98,1992
7/17/2013,T4,R4,Triticum aestivum L. (*),SEED,43.53,1.557,2013
8/16/2013,T6,R4,Medicago sativa L.,,42.331,3.201,2013
8/18/2008,TSF,R2,Poa compressa L.,,45.935,1.265,2008
,TCF,R3,Leaf Litter,LEAFLITTER,51.07,0.65,1998
8/7/2012,TSF,R1,Solidago canadensis L.,,46.844,1.437,2012
7/26/2018,T8,R2,Arrhenatherum elatius (L.) Beauv. ex J. & C. Presl,,45.008,0.84,2018
9/28/2012,T4,R6,UnSorted,,44.302,1.588,2012
10/9/2018,T1,R1,Glycine max L. (*),SEED,51.703,5.781,2018
8/23/2007,T6,R6,aggregate of live biomass except for Medicago sativa L.,,38.024,2.973,2007
5/30/1990,T6,R5,Medicago sativa L.,CROP,39.94,2.73,1990
8/25/2014,T8,R4,Poa pratensis L.,,43.109,1.021,2014
11/17/2016,T5,R2,Leaf Litter,,43.873,0.855,2016
12/15/2015,TSF,R2,Leaf Litter,,46.939,1.117,2015
7/15/2019,T2,R2,Triticum aestivum L. (*),SEED,42.135,1.42,2019
9/6/1995,T5,,poplar leaves,POPLVS,52.27,1.27,1995
7/17/2014,T5,R5,UnSorted,,44.117,2.223,2014
8/7/2017,T8,R3,Solidago canadensis L.,,46.826,1.244,2017
5/22/2007,T6,R6,Medicago sativa L.,,43.666,3.458,2007
7/12/2011,T6,R1,UnSorted,,41.143,3.786,2011
8/2/2007,T7,R5,Aggregate of live biomass except for the top 3 species which are analysed sepearately,,43.71,1.117,2007
8/10/2005,T8,R4,Surface Litter,,40.623,0.822,2005
10/2/1995,T6,R1,Medicago sativa L.,CROP,43.06,3.71,1995
8/1/2016,T7,R1,Aggregate of live biomass except for the top 3 species which are analysed sepearately,,43.433,0.965,2016
10/3/2005,T1,R1,Zea mays L. (*),SEED,43.282,1.312,2005
8/5/2019,T8,R2,Aggregate of live biomass except for the top 3 species which are analysed sepearately,,43.621,0.988,2019
8/3/2016,T7,R4,Poa compressa L.,,42.975,0.555,2016
8/3/2009,T7,R1,Trifolium pratense L.,,44.138,2.042,2009
5/26/2004,T6,R3,Medicago sativa L.,,43.034,3.509,2004
8/14/2019,T7,R6,Surface Litter,,44.295,1.212,2019
7/7/2004,T6,R5,Medicago sativa L.,,43.636,3.255,2004
7/30/2013,T5,R3,UnSorted,,38.15,1.775,2013
7/9/2004,T1,R1,aggregate of live biomass except for Triticum sp.,,38.599,2.375,2004
8/26/2003,T6,R6,aggregate of live biomass except for Medicago sativa L.,,39.186,2.339,2003
9/16/2005,TDF,R3,Leaf Litter,,46.885,0.839,2005
7/15/2005,T4,R6,aggregate of live biomass except for Triticum sp.,,42.773,1.977,2005
8/24/1999,T4,R4,Aggregate of live biomass except for the top 3 species which are analysed sepearately,NDB,37.35,3.77,1999
5/11/1993,T4,R5,Vicia villosa  Roth,COVCROPNDB,40.15,2.83,1993
8/11/1999,T7,R1,Solidago canadensis L.,NDB,45.81,1.16,1999
8/6/1996,T3,R1,Aggregate of live biomass except for the top 3 species which are analysed sepearately,NDB,43.86,0.73,1996
7/2/2014,T6,R6,Medicago sativa L.,,43.816,2.948,2014
10/2/1995,T6,R1,Medicago sativa L.,NDB,42.16,3.52,1995
5/30/1996,T6,R3,Aggregate of live biomass except for the top 3 species which are analysed sepearately,NDB,39.88,2.88,1996
8/26/2005,T5,R5,Festuca rubra L.,,43.882,1.027,2005
11/8/2017,T7,R6,UnSorted,,47.254,0.516,2017
7/6/2010,T2,R2,Triticum aestivum L. (*),SEED,42.568,1.621,2010
7/30/1996,T7,R1,Daucus carota L.,NDB,42.09,0.85,1996
8/8/2011,T7,R1,Poa pratensis L.,,44.652,1.258,2011
8/20/1999,T2,R5,Setaria faberi Herrm.,NDB,43.21,1.88,1999
8/8/2002,T8,R4,Phleum pratense L.,,46.521,1.026,2002
9/10/2007,TDF,R1,Leaf Litter,,46.957,0.732,2007
8/25/2014,T8,R4,Arrhenatherum elatius (L.) Beauv. ex J. & C. Presl,,43.887,0.944,2014
8/4/2014,T6,R2,UnSorted,,41.159,2.18,2014
8/4/1998,T8,R1,Dicots,NDB,44.77,1.26,1998
7/28/2004,T7,R2,Apocynum cannabinum L.,,46.331,0.796,2004
4/26/1999,T3,R6,Trifolium incarnatum L.,COVCROP,42.58,4.03,1999
8/10/2005,T8,R4,Phleum pratense L.,,44.556,1.231,2005
8/17/2010,TCF,R3,Leaf Litter,,51.228,0.771,2010
6/27/2012,T5,R2,UnSorted,,44.502,3.178,2012
8/4/2006,T7,R3,Surface Litter,,40.162,1.474,2006
8/3/2009,T7,R1,Solidago canadensis L.,,45.845,1.27,2009
5/19/2014,T4,R1,UnSorted,,42.313,2.852,2014
9/14/1999,T4,R2,Zea mays L. (*),STOVER,45.68,0.9,1999
8/30/1999,T5,R5,Trunks of poplars - CN code,POPTRK,48.26,0.42,1999
8/11/1999,T7,R3,Asclepias syriaca L.,NDB,41.52,1.92,1999
9/25/2012,T1,R1,UnSorted,,41.574,2.163,2012
10/10/2018,T3,R6,Glycine max L. (*),SEED,51.678,6.132,2018
9/28/2015,T2,R1,Glycine max L. (*),STOVER,42.298,0.683,2015
7/20/1992,T3,R2,Triticum aestivum L. (*),STOVER,39.34,1.1,1992
5/14/2012,T6,R5,Medicago sativa L.,,43.404,3.353,2012
11/30/2018,TDF,R1,Leaf Litter,,47.216,1.062,2018
7/28/1994,T5,R2,Festuca rubra L.,GRDCOVER,41.75,1.37,1994
8/5/2002,T7,R2,Surface Litter,,39.34,1.163,2002
9/12/1989,T5,R5,Trunks of poplars - CN code,TRUNK,45.31,0.75,1989
8/23/2011,T6,R4,Medicago sativa L.,,45.491,3.339,2011
5/1/2003,T3,R6,Trifolium pratense L.,,24.666,1.979,2003
11/7/2014,T5,R6,Leaf Litter,,43.642,1.466,2014
8/20/1999,T2,R4,Setaria faberi Herrm.,NDB,42.88,2.21,1999
10/28/2011,T3,R5,Zea mays L. (*),STOVER,43.719,0.793,2011
5/3/2012,T3,R6,Secale cereale M.Bieb.,,43.377,2.532,2012
8/31/2015,TSF,R1,Aggregate of live biomass except for the top 3 species which are analysed sepearately,,44.507,1.181,2015
10/4/2005,T2,R4,aggregate of live biomass except for Zea mays,,42.484,1.814,2005
,T5,R4,Leaf Litter,LEAFLITTER,46.8,1.7,1993
6/25/2007,T4,R1,aggregate of live biomass except for Triticum sp.,,43.924,1.323,2007
8/12/2019,T7,R1,Solidago canadensis L.,,44.697,0.919,2019
8/10/1998,T7,R5,Surface Litter,SURFACELITTER,36.85,1.06,1998
7/7/2004,T6,R4,aggregate of live biomass except for Medicago sativa L.,,33.081,2.981,2004
8/7/2002,T7,R6,Aggregate of live biomass except for the top 3 species which are analysed sepearately,,45.675,1.128,2002
7/8/2004,T2,R5,Triticum aestivum L. (*),STOVER,42.074,0.73,2004
7/29/1998,TSF,R3,Dicots,NDB,43.07,1.69,1998
7/21/1992,T4,R5,Aggregate of live biomass except for the top 3 species which are analysed sepearately,NDB,44.36,2.11,1992
6/26/1995,T8,R4,Aggregate of live biomass except for the top 3 species which are analysed sepearately,NDB,44.9,1.43,1995
8/18/2008,TSF,R2,Aggregate of live biomass except for the top 3 species which are analysed sepearately,,46.664,1.721,2008
9/4/2003,T4,R6,Glycine max L. (*),STOVER,39.26,3.227,2003
10/4/1993,T1,R1,Aggregate of live biomass except for the top 3 species which are analysed sepearately,NDB,45.4,1.75,1993
9/15/1997,T2,R6,Glycine max L. (*),STOVER,42.08,1.83,1997
10/9/2018,T2,R2,Glycine max L. (*),STOVER,45.225,0.67,2018
8/6/2001,T7,R3,Aggregate of live biomass except for the top 3 species which are analysed sepearately,,44.264,0.885,2001
7/13/2010,T4,R5,Triticum aestivum L. (*),SEED,43.217,1.661,2010
7/14/2004,T4,R5,Triticum aestivum L. (*),SEED,41.5,1.667,2004
5/20/1991,T3,R5,Vicia villosa  Roth,COVCROP,30.5,2.02,1991
7/6/1998,T3,R2,Aggregate of live biomass except for the top 3 species which are analysed sepearately,NDB,42.32,2.18,1998
10/15/1996,T3,R3,Zea mays L. (*),SEED,43.73,1.57,1996
8/6/2015,T8,R1,Aggregate of live biomass except for the top 3 species which are analysed sepearately,,44.33,1.103,2015
9/26/2012,T3,R3,Surface Litter,,37.933,0.861,2012
6/2/2011,T6,R6,Medicago sativa L.,,45.46,3.029,2011
8/4/1998,T8,R1,Senesing Grass,NDB,44.25,1.05,1998
,T5,R1,Leaf Litter,LEAFLITTER,45.06,1.31,1996
8/3/2016,T7,R6,Surface Litter,,42.982,0.98,2016
8/20/2004,T6,R5,aggregate of live biomass except for Medicago sativa L.,,39.328,2.647,2004
5/20/1991,T3,R4,Vicia villosa  Roth,COVCROP,27.46,2.43,1991
8/3/2015,T7,R2,Surface Litter,,47.662,0.874,2015
8/25/2009,T5,R1,Leaf Litter,,45.46,1.43,2009
8/17/1999,TSF,R2,Standing Dead,NDB,45.28,0.79,1999
10/4/1993,T4,R4,Zea mays L. (*),SEED,47.48,1.81,1993
10/1/1991,T4,R6,Glycine max L. (*),STOVER,49.15,1.13,1991
6/7/2012,T6,R5,Medicago sativa L.,,44.221,3.34,2012
10/18/2017,T4,R1,UnSorted,,40.344,1.108,2017
9/1/1994,T8,R1,Bromus inermis Leyss.,NDB,44.88,1.86,1994
8/5/1992,T8,R3,Solidago canadensis L.,NDB,45.47,1.45,1992
6/7/2019,T6,R3,UnSorted,,38.617,3.087,2019
6/26/1995,T8,R2,Arrhenatherum elatius (L.) Beauv. ex J. & C. Presl,NDB,44.54,1,1995
5/8/2018,T4,R3,Secale cereale M.Bieb.,,44.114,3.204,2018
7/20/1992,T4,R3,Triticum aestivum L. (*),STOVER,40.56,0.83,1992
8/1/2018,T7,R1,Rubus allegheniensis T.C. Porter (*),,46.977,1.171,2018
8/5/2019,T8,R3,Solidago canadensis L.,,44.864,1.311,2019
8/4/2015,T7,R3,Euthamia graminifolia (L.) Nutt.,,46.561,0.961,2015
7/14/1989,T4,R5,Triticum aestivum L. (*),SEED,42.55,2.32,1989
8/19/1997,T6,R3,Aggregate of live biomass except for the top 3 species which are analysed sepearately,NDB,39.99,2.72,1997
8/28/2010,T6,R6,Medicago sativa L.,,45.094,3.007,2010
6/28/2007,T2,R3,Triticum aestivum L. (*),SEED,41.791,1.484,2007
9/16/1994,T5,,poplar leaves,POPLVS,47.4,2.77,1994
10/17/2017,T2,R4,Zea mays L. (*),STOVER,44.948,0.468,2017
8/11/2005,TSF,R1,Surface Litter,,44.966,0.864,2005
5/14/2012,T6,R6,UnSorted,,41.492,1.907,2012
7/10/1991,T5,R1,Leaf Litter,LEAFLITTER,45.6,0.79,1991
5/24/1993,T6,R5,Medicago sativa L.,NDB,39.41,3.11,1993
8/11/1999,T7,R2,Erigeron annuus (L.) Pers.,NDB,44.97,1.67,1999
9/30/1994,T7,R3,Aster pilosus Willd.,NDB,46.04,1.49,1994
8/9/2004,TSF,R1,Arrhenatherum elatius (L.) Beauv. ex J. & C. Presl,,44.559,0.922,2004
8/30/1995,T3,R5,Trifolium pratense L.,COVCROPNDB,43.53,2.54,1995
4/17/1996,T3,R4,Trifolium incarnatum L.,COVCROP,42.55,4.06,1996
6/5/1993,T5,R6,Festuca rubra L.,GRDCOVER,42.22,2.73,1993
8/11/2009,TSF,R2,Poa compressa L.,,44.001,0.974,2009
7/12/1999,T6,R2,Medicago sativa L.,CROP,43.94,2.89,1999
6/7/2012,T6,R1,Medicago sativa L.,,44.018,3.578,2012
5/14/2012,T6,R3,UnSorted,,41.581,1.514,2012
9/3/2009,T6,R3,Medicago sativa L.,,44.466,4.448,2009
7/12/1995,T3,R4,Triticum aestivum L. (*),SEED,40.98,1.9,1995
8/27/1997,T2,R4,Aggregate of live biomass except for the top 3 species which are analysed sepearately,NDB,41.83,2.7,1997
10/15/2015,T4,R5,Glycine max L. (*),STOVER,44.834,0.813,2015
8/11/2004,T5,R3,fescue Non dominant biomass,,42.509,1.31,2004
8/28/2013,T8,R1,Poa pratensis L.,,41.621,1.182,2013
8/12/2008,T8,R3,Poa pratensis L.,,44.207,1.247,2008
8/5/2015,T7,R4,Surface Litter,,48.613,0.508,2015
8/2/2012,T7,R6,Arrhenatherum elatius (L.) Beauv. ex J. & C. Presl,,45.276,0.428,2012
7/27/2015,T6,R1,UnSorted,,41.484,2.353,2015
8/2/2007,T7,R5,Apocynum cannabinum L.,,46.2,0.904,2007
7/22/2019,T3,R5,Triticum aestivum L. (*),SEED,42.913,1.621,2019
12/12/2016,TSF,R1,Leaf Litter,,46.224,1.595,2016
10/21/2014,T3,R1,Zea mays L. (*),SEED,42.278,0.85,2014
8/7/2007,T8,R1,Arrhenatherum elatius (L.) Beauv. ex J. & C. Presl,,44.292,0.46,2007
9/12/1994,T4,R3,Glycine max L. (*),STOVER,44.86,1.21,1994
5/20/2014,T4,R3,UnSorted,,43.343,2.775,2014
9/15/1992,T5,R5,Leaf Litter,LEAFLITTER,45.07,1.33,1992
8/17/1995,T6,R2,Medicago sativa L.,CROP,44.54,4.14,1995
9/16/1994,T5,,Trunks of poplars - CN code,TRUNK,44.96,0.14,1994
8/2/2007,T7,R4,Poa pratensis L.,,43.399,1.307,2007
8/18/2008,TSF,R3,Celastrus orbiculatus Thunb.,,47.984,1.751,2008
8/13/2009,TCF,R3,Leaf Litter,,51.541,1.009,2009
10/17/1990,T2,R4,Glycine max L. (*),STOVER,55.99,0.84,1990
8/8/2011,T7,R1,Aggregate of live biomass except for the top 3 species which are analysed sepearately,,45.557,1.248,2011
6/2/1994,T7,R5,Solidago canadensis L.,NDB,49.14,2.43,1994
9/8/2014,TSF,R3,Aggregate of live biomass except for the top 3 species which are analysed sepearately,,42.904,2.48,2014
6/26/2007,T1,R5,aggregate of live biomass except for Triticum sp.,,42.98,1.232,2007
9/14/1999,T2,R1,Zea mays L. (*),SEED,43.19,1.57,1999
4/27/2005,T3,R4,Trifolium pratense L.,,39.312,3.286,2005
10/23/1992,T5,R6,Leaf Litter,LEAFLITTER,46.88,2.22,1992
7/6/2010,T6,R2,aggregate of live biomass except for Medicago sativa L.,,39.753,3.381,2010
9/3/2009,T6,R1,aggregate of live biomass except for Medicago sativa L.,,41.861,2.379,2009
8/10/1998,T7,R2,Dead Dicot,NDB,45.87,1.01,1998
8/11/2006,TSF,R2,Aggregate of live biomass except for the top 3 species which are analysed sepearately,,44.837,1.93,2006
8/24/1999,T3,R4,Aggregate of live biomass except for the top 3 species which are analysed sepearately,NDB,38.09,3.29,1999
10/6/2006,T4,R6,Glycine max L. (*),SEED,52.02,6.619,2006
9/15/1997,T4,R5,Glycine max L. (*),STOVER,46.2,3.26,1997
8/27/2010,T6,R2,Medicago sativa L.,,44.9,2.977,2010
10/6/2009,T4,R2,Glycine max L. (*),STOVER,44.16,1.066,2009
5/29/2013,T6,R5,Medicago sativa L.,,44.107,3.338,2013
8/7/2014,T7,R3,Surface Litter,,44.567,1.135,2014
8/12/2019,T7,R1,Surface Litter,,45.513,0.965,2019
8/20/1999,T2,R3,Digitaria sanguinalis (L.) Scop.,NDB,43.23,2.36,1999
8/4/2004,T8,R3,Solidago canadensis L.,,44.917,1.154,2004
7/12/2004,T1,R6,Triticum aestivum L. (*),SEED,41.598,1.605,2004
8/7/2006,T7,R5,Solidago canadensis L.,,45.423,0.944,2006
11/30/2018,TCF,R2,Leaf Litter,,49.391,1.259,2018
8/23/2012,TDF,R3,Leaf Litter,,45.775,1.019,2012
10/5/2009,T1,R1,Glycine max L. (*),SEED,50.685,6.427,2009
4/30/1990,T3,R6,Vicia villosa  Roth,COVCROPNDB,42.37,3.08,1990
6/2/2011,T6,R1,UnSorted,,38.734,2.827,2011
8/7/1995,T7,R4,Trifolium aureum Pollich,NDB,46.92,2.36,1995
10/21/2002,T1,R4,Zea mays L. (*),SEED,44.027,1.506,2002
8/8/2005,T7,R5,Solidago canadensis L.,,45.604,1.497,2005
9/12/1989,T5,R6,Trunks of poplars - CN code,TRUNK,46.52,0.63,1989
8/5/1992,T8,R2,Achillea millefolium L.,NDB,44.13,1.62,1992
7/25/2012,T8,R3,Arrhenatherum elatius (L.) Beauv. ex J. & C. Presl,,43.145,0.539,2012
7/26/2018,T8,R3,Rubus allegheniensis T.C. Porter (*),,47.155,1.249,2018
10/5/2009,T2,R4,Glycine max L. (*),SEED,51.214,6.01,2009
10/31/1990,T4,R5,Zea mays L. (*),STOVER,51.23,0.72,1990
8/31/2015,TSF,R1,Arrhenatherum elatius (L.) Beauv. ex J. & C. Presl,,44.061,1.204,2015
8/23/2010,TSF,R1,Arrhenatherum elatius (L.) Beauv. ex J. & C. Presl,,45.664,1.282,2010
8/19/2005,T6,R5,Medicago sativa L.,,44.967,2.71,2005
6/26/1995,T8,R2,Rubus sp. (*),NDB,45.58,1.72,1995
8/11/1999,T7,R5,Potentilla argentea L.,NDB,44.7,1.8,1999
5/10/2017,T3,R5,Trifolium pratense L.,,43.587,3.275,2017
5/16/2011,T4,R3,Trifolium pratense L.,,43.176,3.391,2011
6/25/2007,T2,R1,aggregate of live biomass except for Triticum sp.,,43.713,1.27,2007
8/15/2006,T6,R5,aggregate of live biomass except for Medicago sativa L.,,42.836,2.156,2006
7/20/1992,T4,R2,Triticum aestivum L. (*),SEED,38.3,1.93,1992
7/30/2007,T5,R1,Leaf Litter,,46.214,0.788,2007
8/24/1999,T4,R6,Aggregate of live biomass except for the top 3 species which are analysed sepearately,NDB,43.18,2.81,1999
5/30/1996,T6,R6,Medicago sativa L.,CROP,43.76,3.21,1996
7/6/1993,T7,R1,Trifolium pratense L.,NDB,44.51,2.28,1993
7/9/2002,T6,R1,Medicago sativa L.,,43.567,2.951,2002
7/17/2014,T5,R6,UnSorted,,42.118,2.359,2014
7/9/1993,T6,R3,Medicago sativa L.,NDB,40.8,2.72,1993
9/28/2015,T2,R4,Glycine max L. (*),STOVER,42.68,0.809,2015
6/7/2012,T6,R5,UnSorted,,43.089,2.482,2012
10/18/2017,T4,R4,Zea mays L. (*),STOVER,44.21,0.945,2017
12/2/2013,TSF,R3,Leaf Litter,,46.152,1.23,2013
9/30/2015,T3,R4,Glycine max L. (*),SEED,51.013,5.73,2015
8/17/2010,TSF,R1,Leaf Litter,,47.04,1.638,2010
7/8/1991,T6,R3,Medicago sativa L.,CROP,44.71,2.93,1991
6/2/1994,T7,R4,Solidago canadensis L.,NDB,48.67,2.36,1994
8/11/1999,T7,R2,Standing Dead,NDB,46.19,1.15,1999
4/26/2005,T4,R2,Trifolium pratense L.,,40.289,3.689,2005
10/4/1993,T3,R4,Aggregate of live biomass except for the top 3 species which are analysed sepearately,NDB,43.96,2.25,1993
9/28/2015,T1,R3,Glycine max L. (*),STOVER,42.729,0.783,2015
10/26/2011,T1,R6,Zea mays L. (*),STOVER,44.77,0.937,2011
10/24/2002,T4,R1,Zea mays L. (*),STOVER,46.737,0.863,2002
8/7/2002,T7,R6,Solidago canadensis L.,,47.032,1.229,2002
11/30/2012,TDF,R2,Leaf Litter,,45.888,0.826,2012
8/11/2010,T5,R3,Leaf Litter,,44.206,0.655,2010
7/7/2003,T6,R1,Medicago sativa L.,,42.481,2.788,2003
10/13/1989,T4,R1,Vicia villosa  Roth,COVCROP,42.12,4.74,1989
5/10/2018,T6,R2,UnSorted,,38.822,3.032,2018
8/6/2014,T7,R1,Aggregate of live biomass except for the top 3 species which are analysed sepearately,,44.432,1.187,2014
10/9/2018,T2,R1,Glycine max L. (*),SEED,51.145,5.678,2018
5/9/2008,T4,R5,Trifolium pratense L.,,44.607,3.878,2008
8/16/2006,TSF,R3,Surface Litter,,45.87,1.313,2006
8/5/2002,T7,R4,Elymus repens (L.) Gould,,45.667,0.729,2002
7/14/2017,T6,R5,UnSorted,,42.712,2.155,2017
8/1/2017,T7,R4,Surface Litter,,47.613,1.102,2017
7/9/2010,T1,R4,Triticum aestivum L. (*),SEED,43.726,2.015,2010
